ticker,earnings_date,momentum_7d,volume_spike,volatility_7d,market_return_7d,5d_return,label
NEE,2020-04-22,0.04639956391550923,0.5699511699455249,0.031564383678144646,0.012479120624755107,-0.04871138996277441,0
PEP,2020-04-28,-0.00894199188704442,0.581826893664718,0.021799529422277437,-0.003175089618624413,-0.03411122873629582,0
CAT,2020-04-28,-0.007222559277431817,0.5906105028762294,0.020848800517345053,-0.003175089618624413,-0.05672971683095917,0
ADM,2020-04-29,0.0569618145731786,0.6192485438473714,0.0216426664065291,0.04126624858759194,-0.10439972621912075,0
LNG,2020-04-30,0.1305085392827302,1.092394030648545,0.022353552283094002,0.06387360583043444,-0.07453436008848145,0
SHEL,2020-04-30,0.0060733023551584565,0.5199358151971408,0.06272699391820984,0.06387360583043444,-0.018110281144626737,0
CVX,2020-05-01,0.05921413719110516,0.650287454124749,0.03032402199536773,0.013221175577211666,0.06741929837971995,1
HON,2020-05-01,0.03172243575185655,0.7881996912023328,0.02576760712270216,0.013221175577211666,-0.0024774469489991977,0
XOM,2020-05-01,0.02397369607372774,0.6933926439465562,0.04105416391957838,0.013221175577211666,0.07046785870067566,1
KEX,2020-05-05,-0.025693354663692904,0.8682972580857893,0.042037032791637535,0.011378840247127367,0.06090414235575526,1
NTR,2020-05-06,0.0039673404852284995,0.7866311266086626,0.02554875517880278,-0.009754770636132622,-0.11713246377000724,0
CF,2020-05-06,-0.07402197308071386,0.7075539136352459,0.03529145857710446,-0.009754770636132622,-0.06395120155385321,0
2222.SR,2020-05-12,0.04333324366128156,0.656525594866217,0.01305673461462602,0.013720284222406875,0.06549531636946224,1
DUK,2020-05-12,-0.009196533478318083,0.9154868106352891,0.017054387168791034,0.013720284222406875,0.029095944894473435,1
FRO,2020-05-20,0.028533998110743607,0.666688970753147,0.038174239494157707,0.015145284706586852,0.14628013967904843,1
PEP,2020-07-13,0.019265609244926544,0.8277793797590519,0.007206501540925153,0.013912426469343772,-0.01334225946033621,0
HON,2020-07-24,-0.01645492589202688,0.6604936539752695,0.014032980058223572,-0.00301365918302878,-0.0004015204174837778,0
NEE,2020-07-24,0.08204649767319694,0.8271364137886461,0.015140114211483762,-0.00301365918302878,0.0016057263925762313,1
ADM,2020-07-29,0.06713092015219305,0.9472317357703576,0.010028196498279168,0.0024666581261571854,0.009785555267753305,1
SHEL,2020-07-30,-0.07747533050909228,1.0026923233738287,0.019289473859757756,-0.00323087598344218,0.013294145523672163,1
KEX,2020-07-30,-0.020976160004639432,1.1367324837008972,0.019110547095739092,-0.00323087598344218,-0.047942264548044955,0
CAT,2020-07-31,-0.029931374579580738,0.7944761337517849,0.019357272420603363,-0.0010402566269716793,0.015352122658044339,1
XOM,2020-07-31,-0.03508372403198079,1.0252773373024753,0.02154466638449149,-0.0010402566269716793,0.032319418015398275,1
CVX,2020-07-31,-0.07798772180778529,0.9841981522247084,0.01986167816735977,-0.0010402566269716793,0.03407163942978692,1
CF,2020-08-05,0.04974469415401716,2.430833304781157,0.026254300812460718,0.027504450708119958,0.059538269619570434,1
LNG,2020-08-06,0.0945805907693573,0.866327012099934,0.014044732568468627,0.04097487649945831,0.009224382680379152,1
2222.SR,2020-08-10,0.0030304154896473234,1.1396681504751052,0.004445580435219641,0.03583797359661624,0.02289078593744842,1
DUK,2020-08-10,0.00224660577864052,0.9508142709874806,0.017157307606299757,0.03583797359661624,-0.014201535938512816,0
NTR,2020-08-10,0.10183234252863296,1.1031727538952465,0.027423157352074744,0.03583797359661624,0.06270454306533149,1
DE,2020-08-21,0.037387766266625634,1.054178453660683,0.018936133806528654,0.0060457475046023145,0.05213035522180269,1
FRO,2020-08-27,-0.09016395208834457,1.17873033387912,0.022504324328520026,0.028614681854118473,-0.051480055465929014,0
PEP,2020-10-01,0.06545613287718038,1.4003110862875034,0.014265129178801145,0.020405594188129872,-0.02095173023230835,0
NEE,2020-10-21,-0.026139244501316928,0.7911409034689156,0.014503402360766408,-0.02752328286342579,0.0005374933107949892,1
CAT,2020-10-27,-0.05852128907027583,1.0670663434125474,0.018137654247372,-0.026116075956734715,0.06193405284310889,1
SHEL,2020-10-29,-0.027251222032358285,0.930008138495734,0.038665550560830646,-0.03902401984066796,0.08972805163364954,1
KEX,2020-10-29,-0.05550023706567944,0.9258310102133936,0.03361004396447439,-0.03902401984066796,0.06666663316032333,1
ADM,2020-10-29,-0.018674985205347158,1.131650129242058,0.013155752216779778,-0.03902401984066796,-0.04026453171916735,0
XOM,2020-10-30,-0.016284754030539562,1.396248850173072,0.035006712385022516,-0.04723843094153824,0.0049049287445921096,1
CVX,2020-10-30,-0.019330897670012753,1.2196378991388837,0.027779511027216208,-0.04723843094153824,0.023740934535287164,1
HON,2020-10-30,-0.04581468745978465,1.1101276944123377,0.023158024679307214,-0.04723843094153824,0.1171262678859295,1
NTR,2020-11-02,-0.006924498067292732,1.3790577043111427,0.015890056063291424,-0.04181539470360689,-0.017071403758859495,0
2222.SR,2020-11-03,-0.002898337880530595,1.0263297746986453,0.012399007257233665,-0.028197044460670197,0.03790179186187611,1
CF,2020-11-04,-0.006336045906445813,1.5088468667094694,0.030178907079028143,0.012227744098246432,0.14591131224945475,1
DUK,2020-11-05,0.012465031624303338,0.793921240269351,0.017405368698392695,0.03553890482732467,0.010337402170949778,1
LNG,2020-11-06,0.05376340375795868,0.7624617187633664,0.015011043631636708,0.07194034919926248,0.0418164966674347,1
DE,2020-11-25,-0.010305001723253951,1.4187539539351908,0.010542049178843155,0.0002482476701810873,-0.014623882604161177,0
FRO,2020-11-25,-0.0014770541290274463,1.1324525512964105,0.04348928248406951,0.0002482476701810873,-0.08727814232434122,0
ADM,2021-01-26,-0.01305100050790427,0.8378318604042355,0.012833629964780139,0.01408358107701937,-0.02376373581015022,0
NEE,2021-01-26,0.032715338509814736,1.373134044264253,0.016318002526622532,0.01408358107701937,-0.026985829894206854,0
KEX,2021-01-28,-0.058982174847995186,1.632660369756927,0.017014426339033367,-0.0026937859297712736,0.1037645002958158,1
CAT,2021-01-29,-0.049391721821814366,1.171649115312306,0.018031161826547397,-0.03599964920379594,0.05556783769325837,1
HON,2021-01-29,-0.061082110565503715,1.4483088793650734,0.01631590384056051,-0.03599964920379594,0.03864453633140835,1
CVX,2021-01-29,-0.10673072975236308,0.8975348740460828,0.018092079834438883,-0.03599964920379594,0.04765257612170974,1
XOM,2021-02-02,-0.037950784627070834,1.0122956932701892,0.01699116812379449,-0.003473721143721745,0.12842016514428217,1
SHEL,2021-02-04,-0.046626796171141564,1.4900642328696923,0.01711869306549598,0.006253451326526559,0.01967216834977905,1
DUK,2021-02-11,-0.018679719560902527,0.7629936075190173,0.012094503960122346,0.024007566893791472,-0.022008367103435997,0
PEP,2021-02-11,-0.02464239701782422,0.9623236531326088,0.011373004764793374,0.024007566893791472,-0.018226440402419768,0
CF,2021-02-17,0.0518173861870798,0.693912265986807,0.017877096448955573,0.012071075820205779,0.07878369560494425,1
NTR,2021-02-17,0.04275595188609776,1.3299507985167562,0.013537861159727351,0.012071075820205779,0.011816996566550513,1
NESN.SW,2021-02-18,-0.00020150070215380877,0.7430823973383566,0.006736514532753742,0.0005379248340705875,-0.0306328627455842,0
FRO,2021-02-18,0.08095941970444592,1.8811443001591837,0.041165897597553895,0.0005379248340705875,-0.016643347697230325,0
DE,2021-02-19,0.04652290903492357,1.865361611052985,0.04351176074658145,-0.0005638196462586132,0.05793921499307139,1
LNG,2021-02-24,0.03593631680467636,0.8910728536646327,0.01759531871127756,-0.0022160023724633947,-0.013847410099532,0
2222.SR,2021-03-22,-0.009749285938891555,0.9816238480580545,0.005084777745053669,0.000878831978154986,-0.0013695170824860874,0
PEP,2021-04-15,-0.00946626799382865,0.7097285660148721,0.003707967031353675,0.024007894955131073,0.02642135781989097,1
NEE,2021-04-21,0.004250627891724356,1.0918114324688817,0.017733787829923357,0.010761985499446744,-0.011286845126041913,0
HON,2021-04-23,-0.021274667376093338,0.7100640489658678,0.012685960076175147,0.012856956462455271,-0.006503253704237107,0
ADM,2021-04-27,0.03986552257784554,1.1139060688519442,0.01639609566805121,0.00062293757155364,0.05305726579986952,1
SHEL,2021-04-29,0.008612240111355949,0.9524958401270032,0.013095246317174626,0.01914254713338234,0.03829244281495177,1
CAT,2021-04-29,0.00381416919055646,0.8219577762079702,0.014664092665356527,0.01914254713338234,0.04220347999207745,1
KEX,2021-04-29,0.05049667483458172,0.9519080411706543,0.020235159724647893,0.01914254713338234,0.05610719196981285,1
CVX,2021-04-30,0.0033094491330187105,0.9462820050794437,0.020850138991970826,0.0029560880122942853,0.06742995562941942,1
XOM,2021-04-30,0.022142988672341386,0.9793684142801856,0.01933637901338463,0.0029560880122942853,0.0906707811097858,1
NTR,2021-05-03,0.04131007876388208,0.8647119176059687,0.013193183922166844,0.014383920899213802,0.10346669997033694,1
LNG,2021-05-04,0.07224667811668103,0.903512723309562,0.008207925676047853,-0.002687579787279918,0.032432486136347805,1
CF,2021-05-05,0.03321653137617766,1.0238456451550162,0.012862071684741272,-0.004454007014086933,0.07687700095398718,1
DUK,2021-05-10,0.042089332875619744,1.0234783845922188,0.01320542729064079,-0.0050468145507813105,-0.0029291511891003643,0
DE,2021-05-21,-0.037149162139381846,1.8345832180199395,0.021118759481537682,0.023507123489206867,0.003752688888013165,1
